,art,entertainment,fashion,food,gaming,health and lifestyle,mom and children,sports,tech,travel
post_count,-0.20438255496018615,-0.0884976635500047,0.0811675276240076,0.0879339912607225,-0.2944731873000545,0.11910036351960696,0.29642486451624567,-0.11965659974477347,-0.20811848920983866,0.33050174784427183
follower_count,1.0553304377454775,1.2214274593507866,1.2520000496823904,-1.6888579866507167,0.6639703807307699,-0.6182837012162138,0.602196045781568,1.1807179601080484,-1.7439742799144788,-1.924526365617627
following_count,0.12771166661686603,0.023999270223325694,0.1234052114316282,-0.034292218073808785,-0.2871034172661088,0.09508625126974236,0.04996408534622503,0.0017471736012195313,-0.11650688580056545,0.015988862651492745
post_count_bin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ab,0.16531367951612558,-0.009812781692515427,-0.0064857409337661254,-0.04568916295593807,-0.018206908333613055,-0.03264378961520142,0.020836160549860885,-0.07107413536558906,0.0497118030081036,-0.05194912417746706
abant,0.06514348382999623,-0.0696729445148751,-0.02620291419331426,-0.07338955849055902,-0.011492883030590964,-0.08185248882558503,-0.052012862509057324,-0.04178205301755792,-0.03851330959454544,0.32977553034608936
abd,-0.016286880561855552,0.19265070829445785,-0.014628655254123433,0.03960016229492668,-0.019742266076383137,-0.024194192127484287,-0.08888870623123324,-0.059559209364602,-0.01341291035664702,0.004461949382944206
abdulkadir,-0.07902290953581596,-0.11752950547307695,-0.07805425104052326,-0.034126576134913995,-0.01848739111898804,-0.0240716819090371,0.34353372074095095,-0.1330704950728488,-0.0760747858796769,0.21690387542392978
abdullah,-0.13667904514755,-0.041546415659047244,-0.03189997151000661,-0.07839720037902473,-0.045953322670776314,-0.08418210500439305,0.32647459966219494,0.3994177187414146,-0.1427301688335976,-0.1645040891992134
abi,0.11596516904139653,0.7496503202082897,-0.09614844625922504,-0.15743601555366188,0.2882076380914164,-0.2776293923994809,-0.3231811961877736,-0.023843913818485427,-0.17250139640278803,-0.10308276671968775
abiye,-0.07720697082154192,-0.1009141978233151,0.3426070384382196,-0.0616228689712364,-0.020110883383324472,-0.08333621509673331,0.0994475927258954,-0.03926735633940269,-0.0027166251578140104,-0.05687951357074704
abone,-0.18055758197732277,-0.0032968746740600794,-0.09187746330827368,0.05441784745080088,0.1846264086373767,0.09038550499067649,-0.11004146035978164,-0.03943044044083191,0.05383782554002508,0.041936234141390256
about,-0.09943593833739807,0.3188154231681152,-0.047287439393105465,-0.10408920163854772,-0.04385814669267071,0.20354828187365487,-0.11489326254904905,0.03603198972621417,-0.012873362426561136,-0.13595834373065194
about the,-0.05478345508430687,0.09926177750551413,0.04323313305326158,-0.04786789304209985,-0.011951931779503216,0.18165352347493371,-0.06122273498622128,-0.044896617686735495,-0.04658122869099149,-0.0568445727638516
abs,-0.03607089264748372,-0.001671151821691568,0.0018441747513117653,-0.029875462184385936,-0.007812115513979253,0.061189338252527,-0.018096402907365503,0.025792357750880714,0.04442829541149173,-0.03972814109130533
acar,0.08622091544375875,0.2727264209087769,-0.08912139932220496,-0.014713306771764984,-0.019167217712606533,0.012397870740111764,-0.02452728966634851,-0.0166591568272732,-0.1270622808971759,-0.08009455589527309
access,-0.062418639173408265,-0.04711087039748833,-0.04822296164831533,-0.055656512531997215,-0.007874381174009565,-0.0074412647733645455,0.06437511454344529,0.04154153222396065,0.18379691946210527,-0.06098893653092809
accessories,-0.0012863687631676872,-0.02523366677923817,0.06303633145313466,-0.0028044779936884493,-0.0053447419314186315,0.02036767212459578,-0.01494490396762555,-0.020063707123134975,0.029754344921919428,-0.04348048194137649
accommodation,-0.007697359169803927,-0.013712849501211714,-0.0409391020911616,-0.02358147825781526,-0.005101191111955203,-0.028621047758120563,-0.019816461133903476,-0.002468582683548782,-0.04627659893311212,0.18821467064063258
accompanied,-0.012785584019817428,-0.016567122958607017,0.016693961823315732,0.008813781426500245,-0.0052091177117472515,-0.024167788033564785,0.017444715423285028,-0.04093582698028999,-0.02842639080060676,0.08513937183153236
accompanied by,-0.007162327815597168,-0.012758255801898865,0.02183090205702788,0.0033367632584264738,-0.004764878762987203,-0.025219798999687085,0.02020401653633568,-0.03762625835335168,-0.026073730407797934,0.06823356828953005
according,-0.018152259742578388,-0.009437607126425137,0.2095923333013017,-0.0398069117383541,-0.008846350695463738,-0.02414582540816546,0.00873160280439557,-0.05682792558476905,-0.020089371428476326,-0.041017684381465296
according to,-0.018152259742578388,-0.009437607126425137,0.2095923333013017,-0.0398069117383541,-0.008846350695463738,-0.02414582540816546,0.00873160280439557,-0.05682792558476905,-0.020089371428476326,-0.041017684381465296
acele,0.07371248485170648,0.33371867810904826,-0.07014403511802508,-0.01706851978713915,-0.03719134790327536,-0.06216772924606804,-0.04348546022186383,-0.07700570778933613,-0.012645007773403624,-0.0877233551216442
acele edin,0.05526796944379989,0.2336057376817867,-0.026601838862537606,-0.05528522978711959,-0.024872953574448596,-0.05444442527736953,-0.03428864711969169,-0.05420661143016708,0.021443450144550243,-0.060617451218802666
achieve,0.10293136989349834,-0.03603968873410182,-0.0003047351564195998,-0.059479795373893495,-0.006329485971530002,0.03463882974781117,0.002767312049323479,-0.01034298621105633,0.0368901802443423,-0.06473100048797392
acil,-0.2106036903924301,-0.14104122303911856,-0.09121203532662522,0.14587354950626513,-0.07659124092594928,0.2883416919528204,0.017078983541824744,-0.03600183597239656,-0.04153627660857814,0.14569207726418745
acil şifalar,-0.06818766020491795,-0.0849324986338951,-0.08556999742639176,0.20302595992676592,-0.042295411426683284,0.07828833595345087,0.06664713900789393,0.10111629826562371,-0.0664444941086762,-0.10164767135316996
act,-0.03764987165741625,-0.04847735160316936,0.035853833943287824,-0.025293130974156232,-0.018868289298410484,0.4122103907153057,-0.08682013566107821,-0.0585908924214879,-0.08207240357577793,-0.09029214946709707
action,-0.12619604195414688,-0.10154989141177652,-0.02527072842276269,-0.0029204937426015615,-0.0191467125499461,-0.08051919136469758,-0.026821776790380565,0.360646730136802,0.03941520354425773,-0.017637097444747205
active,-0.04172324275293309,0.002157024210250589,0.2010114169133488,-0.09614823578413494,-0.019835642758100958,0.03292615871630703,0.04929746625655876,-0.04378525044462801,-0.01200852688514841,-0.07189116747151957
activities,-0.10381721146858483,0.12907559549130215,-0.07732884593310285,-0.07898062236857686,-0.009091797281536421,-0.008087802788585898,0.017627367102015314,-0.07263288760913483,0.03539605165038811,0.16784015320581694
acı,0.4258842852541345,-0.12387627942019971,-0.14247676944093787,0.04231122986391082,-0.049851601942179954,0.03869383458582044,-0.02733590631331214,-0.03222683213951636,-0.09137410048673669,-0.03974785996098306
acık,0.30180605151284234,-0.08410724782569401,-0.07587024623331597,-0.06746025159227172,-0.018001099716672367,-0.07817674286123551,0.10834068220201212,-0.04450289766587047,-0.0913491882202049,0.04932094040041111
ad,0.10372096460247822,-0.24009126974989808,-0.24054445141859318,0.049006612302462955,0.5219406573080911,-0.16901611914945192,-0.09522747108082875,0.0598209452708351,-0.046951045845223666,0.05734117776012964
ada,0.36626262976488705,-0.11337865544057327,-0.020000871315246613,-0.143013877494533,0.03792802605856339,-0.1505604589129687,-0.09566689057776702,-0.0471365698065158,-0.026853610098896228,0.19242027782305
adalet,0.030919696291882827,0.12275269735515655,-0.048543814122497364,0.05503435927564422,-0.0246217130360878,0.06673237347797001,0.052699089151666906,-0.06037147948929632,-0.09419882145207306,-0.10040238745236602
adam,-0.14607890661448916,0.3655476718571941,-0.33092952850890595,-0.13967482234225412,0.23525515292013344,-0.09749328181359404,-0.24616250041451607,0.19356204329181936,0.32690538526213603,-0.16093121363752277
adana,-0.22523834730593192,-0.26807802833454036,-0.37098907845082496,0.3220236378226345,-0.11962343814604796,-0.38802473109463925,0.4032784903955318,0.4973221375158502,0.31946318475761054,-0.17013382715964342
adanakebap,-0.01726954865528285,-0.02107874901850724,-0.027607566494310495,0.15004835545531875,-0.004178386578873347,-0.017473975750801264,-0.008776787624924946,-0.00769770708001513,-0.0232620378145654,-0.02270359643803795
adapazarı,-0.1121809016117325,-0.17461646948574747,-0.1221849610043116,0.26139250852585016,-0.026968733764820174,-0.25191148999126806,0.4150322221696106,-0.09974248394825797,-0.09828046855577702,0.20946077766645316
adası,-0.08121453100702922,0.10802246955667852,0.0010978517464482688,-0.08654829332892296,-0.018903816638448232,-0.16801784143621878,-0.003794896798055732,0.03193531810021281,-0.0909508931618883,0.3083746329672237
aday,-0.11013367320792046,-0.02474951573887073,-0.053244683442617194,-0.039205361992201156,-0.04255176811386475,0.11919999182761393,0.014128047558186932,0.24068627490088068,-0.03314300532573783,-0.07098630646546916
adaylarının,-0.05828366096094641,0.04819526875685032,-0.05426090059850135,-0.028102507015482846,-0.02045825667778622,0.08425092902977695,-0.15108926245609205,-0.07724975407782754,0.20871805161553278,0.048280092384476274
adayı,-0.019328684787985127,-0.10231561001819343,-0.045523709205864335,-0.03567213115562828,-0.0256133288169035,0.0832012343744732,-0.01786815851071437,0.24507313970014413,-0.019016664159629663,-0.0629360874196986
add,-0.1160280495229097,-0.061133707616927185,0.22097549990370852,0.05844949654952935,-0.018458644759248716,-0.045887873990843764,0.02143806211253508,-0.0679232630972915,-0.05052085867215547,0.059089339093603435
